# id | 就题讲解（每段用 || 分隔）
q11|句子说“我哥哥还没有做作业”。先找动作：hasn’t done是“还没有做”，然后问“没做什么？”答案是his homework，所以这整个名词短语是宾语。||hasn’t不是单独一个完整的动作表达，它与done组成现在完成时的否定形式。划宾语时不要把done划进去，也不要漏掉his。
q12|先把修饰人的all over the world暂时括起来，主干就是People speak English：人们说英语。English回答“说什么”，所以是宾语。||all over the world说明是哪些people，属于主语内部的修饰；它没有改变speak与English之间的动宾关系。
q13|这是一道问句，问“上节课你学了多少新单词”。把疑问语序暂时还原为You learned how many new words last class，就能看见learned后面所学的内容。||How many new words虽然移到了句首，仍整体作宾语。how many与new都属于这一名词短语，不能只划words；did只是帮助构成问句。
q14|先问学生们“想要什么”：不是单独“游泳”这个词，而是“去游泳”这整件事，因此want后面的to go swimming整体作宾语。||go swimming是“去游泳”的活动表达。swimming依附于go，to go swimming又依附于want，划成分要按外层动词want来确定范围。
q15|这句话的意思是“老人当时觉得很累”。was feeling整体表示当时的感受；very tired说明老人处于什么状态，所以它才是表语。||表语就是跟在系动词后、说明主语身份或状态的部分。此处feel表示“感觉”，是系动词；was是过去进行时的助动词，不能把feeling划进表语。
q16|句子说“叶子已经变黄了”。have turned是“已经变得”，yellow说明变成了什么状态，所以yellow作表语。||turned不是因为长得像过去分词就单独算表语；它与have构成动词部分。真正描述leaves状态的是yellow。
q17|先找变化：became表示“变得”。变成什么状态？interested in the subject，意为“对这门学科感兴趣”，这个整体是表语。||interested是核心词，in the subject补充“对什么感兴趣”。若题目要求划完整成分，应一起划出；Soon只说明变化发生的时间。
q19|这题要求找定语，不是找句中最长的短语。some people中的some限定“哪些/多少人”，因此是people前的限定成分，按本卷归入定语。||forgot to sweep the floor是“忘了扫地”，to sweep the floor回答“忘了什么事”，依附于forgot作宾语，而不是修饰某个名词的定语。
q20|句子谈的是“楼下的那个人”。downstairs紧跟man，用来区分是哪个人，因此修饰man，是后置定语。||不要根据downstairs是副词就直接答状语。成分取决于它在这句话里修饰谁；was trying to sleep才是这个人的动作。
q21|I am waiting for the sound说明“我在等那个声音”。哪一种声音？of the other shoe，即另一只鞋发出的声音，因此这整个介词短语修饰sound。||the other shoe在介词短语内部，other又修饰shoe。只划the other，就把内层词语与外层要找的完整定语混淆了。
q22|先看“她希望谁做什么”：the children是她所指的孩子，to read…说明孩子要做的事。因此children作宾语，后面的不定式短语作宾补。||newspapers and books是read的宾语，属于宾补短语内部，不能拿它们替代整句likes后面的宾语。原句用would like会更常见，本题按现有句式分析。
q23|ask her是“要求她”，要求她做什么？to take the boy out of school。这一不定式说明her要做的动作，所以作宾语补足语。||her才是asked的宾语。the boy虽然也是一个人，但它是take的宾语，处在内层短语中，不是asked的第二个宾语。
q24|句子意思是“她发现做这项工作很难”。真正被评价的事情是to do the work，“难”是对这件事的评价，所以difficult是宾补。||句子先用it占住宾语的位置，把较长的to do the work放到后面：found＋it＋difficult＋to do the work。it叫形式宾语，后面的不定式是真正宾语。||不能把to do the work划为宾补：它回答“什么事很难”，不是回答“这件事怎么样”。
q25|They call me Lily意为“他们叫我Lily”。me与Lily指同一个人，Lily补充说明me叫什么，因此是宾补。||双宾语通常是“给谁、给什么”，两个宾语不是同一身份；这里不是“给我一个Lily”。sometimes只说明频率。
q28|“他在十一岁时开始学英语。”when he was eleven回答“什么时候开始”，所以是时间状语从句。||它内部有自己的主语he、系动词was和表语eleven，因而叫从句。to learn English虽也含动词，却是不定式短语，作began的宾语。
q29|先看两处修饰分别回答什么：on the motorbike回答“哪个男人”，修饰man；too fast回答“骑得/行进得怎样”，修饰was traveling。||因此前者是定语，后者是题目要找的状语。不能因为两处都在补充信息就划成同一种成分。
